TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
a_a003921,호텔국도,0,1,Y,2022-10-09 00:00:00.000,2022-10-10 00:00:00.000,2,,,서울 중구 을지로 164,서울 중구 을지로4가 310,,,,1,104700,
a_a001271,인터컨티넨탈 서울코엑스,2,1,Y,2022-08-29 00:00:00.000,2022-08-30 00:00:00.000,2,1208514498,파르나스호텔(주),서울 강남구 봉은사로 524,,3122004,1168010500,2022-08-29 00:00:00.000,1,149000,
a_a000662,앰배서더서울풀만호텔,10,1,,,,2,2038143548,(주)서한사,서울 중구 동호로 287,,3005001,1114014400,2022-08-19 21:18:00.000,3,100000,호텔비
a_a001892,노보텔앰배서더 서울동대문호텔&레지던스,1,1,Y,2022-09-29 00:00:00.000,2022-09-30 00:00:00.000,2,1208757657,(주)케이티에스테이트,서울 중구 을지로 238,,3101006,1114014800,2022-09-29 14:47:00.000,1,178695,호텔비
a_a002001,S스테이호텔,1,1,Y,2022-09-08 00:00:00.000,2022-09-09 00:00:00.000,1,2208115770,나이스정보통신㈜,,,,,2022-09-05 16:54:00.000,1,50760,S 스테이 호텔 숙박비
a_a003056,가평 청춘 글램핑&카라반,1,5,Y,2022-09-28 00:00:00.000,2022-09-29 00:00:00.000,2,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022-09-22 00:00:00.000,1,135200,글램핑C
a_a001080,오월호텔AVE,1,1,Y,2022-09-04 00:00:00.000,2022-09-05 00:00:00.000,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-08-15 00:00:00.000,3,50000,여주5월AVE
a_a005989,토요코인호텔 영등포점,2,1,Y,2022-10-09 00:00:00.000,2022-10-10 00:00:00.000,4,,,,,,,2022-10-05 00:00:00.000,1,52000,
a_a004632,롯데시티호텔 마포,1,1,Y,2022-10-14 00:00:00.000,2022-10-15 00:00:00.000,2,2208115770,나이스정보통신㈜,,,,,2022-10-10 00:00:00.000,1,182289,LOTTE CITY HOTEL MAPO
a_a003162,이코노미호텔 인천부평점,1,1,Y,2022-10-08 00:00:00.000,2022-10-10 00:00:00.000,2,,이코노미 호텔 부평점,인천 부평구 부평대로296번길 88-6,인천 부평구 갈산동 168-10,4262370,2823710600,2022-10-08 15:00:00.000,1,59667,호텔비
a_a010504,파인트리글램핑&캠핑장,0,5,Y,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,2,,,경기 포천시 이동면 화동로 1925-63,경기 포천시 이동면 연곡리 932,,,,1,245000,
a_a001498,블루힐모텔,1,2,Y,2022-09-03 00:00:00.000,2022-09-04 00:00:00.000,1,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2022-08-19 00:00:00.000,1,33200,[10%할인]평택 블루힐
