COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,d_d009921,3,1,7,1
1,d_d005149,7,2,3,1
8,d_d005291,6,1,1,3
1,d_d004384,7,2,3,1
1,d_d001523,10,2,4,1
1,d_d001572,8,2,4,1
3,d_d002588,6,1,5,1
1,a_a010468,1,1,5,1
8,b_b006175,10,2,4,1
2,d_d000190,7,1,5,3
1,d_d001927,8,1,4,1
1,d_d002085,7,2,3,1
3,d_d000096,2,2,1,1
2,d_d001240,5,2,4,1
1,b_b011774,5,2,4,1
1,d_d004282,9,2,3,1
3,d_d004713,2,1,1,1
1,d_d009523,7,2,5,2
2,d_d001288,1,2,5,3
14,a_a001537,11,1,1,2
1,d_d002456,8,1,3,1
3,d_d001515,5,2,3,1
1,d_d005637,8,2,3,1
14,b_b002028,10,1,6,3
2,d_d001688,7,1,4,1
8,a_a000553,7,2,1,1
1,d_d003209,1,1,5,1
9,d_d000188,9,1,4,1
2,a_a001510,9,1,4,1
1,d_d004450,7,2,4,1
2,d_d009485,2,2,1,1
5,d_d008975,3,2,7,1
1,d_d001396,8,2,4,1
3,d_d000308,7,2,3,1
1,a_a001517,7,1,4,1
2,d_d009122,2,2,1,1
1,d_d007122,7,1,3,1
2,b_b010046,2,1,1,1
5,d_d009808,6,1,3,1
1,d_d000451,1,1,6,1
1,d_d004770,7,2,3,1
2,d_d004411,2,1,2,1
3,d_d001845,7,2,3,1
1,d_d002305,1,2,4,1
3,d_d000284,2,2,2,1
3,d_d004915,9,2,4,1
1,d_d001146,7,2,3,1
3,d_d009893,2,2,1,1
1,d_d009437,7,1,4,1
1,a_a003343,8,1,4,1
3,d_d009175,2,1,2,1
3,a_a001527,7,1,4,1
1,d_d009000,5,1,3,1
1,d_d009396,1,1,4,1
2,d_d003876,2,1,1,1
7,a_a000660,2,2,4,1
1,d_d009883,1,2,4,1
1,b_b001747,1,1,5,1
1,b_b009828,8,2,3,1
1,d_d007783,11,2,3,1
3,d_d000080,7,1,6,3
1,b_b011144,7,1,3,1
4,d_d000117,2,2,3,1
3,d_d001776,2,2,1,1
3,d_d005338,2,2,1,1
1,d_d002090,1,1,8,1
1,d_d006290,8,1,3,1
2,d_d001476,7,1,4,3
1,d_d006278,7,2,3,1
2,d_d001031,2,2,4,3
1,d_d010226,8,1,3,1
1,d_d007698,3,2,7,1
1,d_d000268,1,1,5,1
1,d_d007388,9,1,3,1
2,d_d003180,2,1,1,1
1,d_d002972,5,2,4,1
1,d_d000811,7,1,3,1
4,d_d002476,2,1,1,1
3,d_d004838,5,1,4,1
2,d_d010354,10,1,3,1
3,d_d000866,7,1,3,1
2,d_d009039,7,2,4,1
4,d_d004906,7,1,4,2
